Sexo;Comunidades autonomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Castilla y Leon;Mediana;2009;17.577
Ambos sexos;Castilla y Leon;Mediana;2008;17.247
Ambos sexos;Castilla-La Mancha;Mediana;2022;20.478
Ambos sexos;Castilla-La Mancha;Mediana;2021;19.672
Ambos sexos;Castilla-La Mancha;Mediana;2020;18.995
Ambos sexos;Castilla-La Mancha;Mediana;2019;18.619
Ambos sexos;Castilla-La Mancha;Mediana;2018;18.534
Ambos sexos;Castilla-La Mancha;Mediana;2017;17.735
Ambos sexos;Castilla-La Mancha;Mediana;2016;17.875
Ambos sexos;Castilla-La Mancha;Mediana;2015;17.742
Ambos sexos;Castilla-La Mancha;Mediana;2014;17.913
Ambos sexos;Castilla-La Mancha;Mediana;2013;17.444
Ambos sexos;Castilla-La Mancha;Mediana;2012;17.301
Ambos sexos;Castilla-La Mancha;Mediana;2011;17.851
Ambos sexos;Castilla-La Mancha;Mediana;2010;17.379
Ambos sexos;Castilla-La Mancha;Mediana;2009;17.070
Ambos sexos;Castilla-La Mancha;Mediana;2008;16.581
Ambos sexos;Cataluna;Mediana;2022;24.772
Ambos sexos;Cataluna;Mediana;2021;23.962
Ambos sexos;Cataluna;Mediana;2020;23.184
Ambos sexos;Cataluna;Mediana;2019;22.319
Ambos sexos;Cataluna;Mediana;2018;22.151
Ambos sexos;Cataluna;Mediana;2017;21.720
Ambos sexos;Cataluna;Mediana;2016;21.188
Ambos sexos;Cataluna;Mediana;2015;20.972
Ambos sexos;Cataluna;Mediana;2014;20.601
Ambos sexos;Cataluna;Mediana;2013;20.763
Ambos sexos;Cataluna;Mediana;2012;20.992
Ambos sexos;Cataluna;Mediana;2011;21.249
Ambos sexos;Cataluna;Mediana;2010;20.852
Ambos sexos;Cataluna;Mediana;2009;20.634
Ambos sexos;Cataluna;Mediana;2008;19.904
Ambos sexos;Valencia;Mediana;2022;20.769
Ambos sexos;Valencia;Mediana;2021;19.843
Ambos sexos;Valencia;Mediana;2020;19.108
Ambos sexos;Valencia;Mediana;2019;18.650
Ambos sexos;Valencia;Mediana;2018;18.887
Ambos sexos;Valencia;Mediana;2017;18.311
Ambos sexos;Valencia;Mediana;2016;18.008
Ambos sexos;Valencia;Mediana;2015;18.000
Ambos sexos;Valencia;Mediana;2014;17.857
Ambos sexos;Valencia;Mediana;2013;17.865
Ambos sexos;Valencia;Mediana;2012;18.074
Ambos sexos;Valencia;Mediana;2011;18.138
Ambos sexos;Valencia;Mediana;2010;17.484
Ambos sexos;Valencia;Mediana;2009;17.429
Ambos sexos;Valencia;Mediana;2008;16.864
Ambos sexos;Extremadura;Mediana;2022;18.860
Ambos sexos;Extremadura;Mediana;2021;18.146
Ambos sexos;Extremadura;Mediana;2020;17.492
Ambos sexos;Extremadura;Mediana;2019;17.110
Ambos sexos;Extremadura;Mediana;2018;17.260
Ambos sexos;Extremadura;Mediana;2017;17.166
Ambos sexos;Extremadura;Mediana;2016;16.700
Ambos sexos;Extremadura;Mediana;2015;16.837
Ambos sexos;Extremadura;Mediana;2014;16.346
Ambos sexos;Extremadura;Mediana;2013;16.636
Ambos sexos;Extremadura;Mediana;2012;16.645
Ambos sexos;Extremadura;Mediana;2011;16.805
Ambos sexos;Extremadura;Mediana;2010;16.122
Ambos sexos;Extremadura;Mediana;2009;16.300
Ambos sexos;Extremadura;Mediana;2008;15.529
Ambos sexos;Galicia;Mediana;2022;20.498
Ambos sexos;Galicia;Mediana;2021;19.881
Ambos sexos;Galicia;Mediana;2020;19.389
Ambos sexos;Galicia;Mediana;2019;18.813
Ambos sexos;Galicia;Mediana;2018;18.600
Ambos sexos;Galicia;Mediana;2017;18.529
Ambos sexos;Galicia;Mediana;2016;18.146
Ambos sexos;Galicia;Mediana;2015;17.600
Ambos sexos;Galicia;Mediana;2014;17.379
Ambos sexos;Galicia;Mediana;2013;17.187
Ambos sexos;Galicia;Mediana;2012;16.632
Ambos sexos;Galicia;Mediana;2011;16.874
Ambos sexos;Galicia;Mediana;2010;17.216
Ambos sexos;Galicia;Mediana;2009;16.569
Ambos sexos;Galicia;Mediana;2008;16.151
Ambos sexos;Comunidad de Madrid;Mediana;2022;25.203
Ambos sexos;Comunidad de Madrid;Mediana;2021;24.091
Ambos sexos;Comunidad de Madrid;Mediana;2020;23.231
Ambos sexos;Comunidad de Madrid;Mediana;2019;22.263
Ambos sexos;Comunidad de Madrid;Mediana;2018;21.478
Ambos sexos;Comunidad de Madrid;Mediana;2017;21.608
Ambos sexos;Comunidad de Madrid;Mediana;2016;21.165
Ambos sexos;Comunidad de Madrid;Mediana;2015;21.308
Ambos sexos;Comunidad de Madrid;Mediana;2014;21.579
Ambos sexos;Comunidad de Madrid;Mediana;2013;21.274
Ambos sexos;Comunidad de Madrid;Mediana;2012;21.418
Ambos sexos;Comunidad de Madrid;Mediana;2011;21.046
Ambos sexos;Comunidad de Madrid;Mediana;2010;21.319
Ambos sexos;Comunidad de Madrid;Mediana;2009;20.712
Ambos sexos;Comunidad de Madrid;Mediana;2008;20.270
Ambos sexos;Region de Murcia;Mediana;2022;19.904
Ambos sexos;Region de Murcia;Mediana;2021;19.550
Ambos sexos;Region de Murcia;Mediana;2020;19.378
Ambos sexos;Region de Murcia;Mediana;2019;18.520
Ambos sexos;Region de Murcia;Mediana;2018;18.641
Ambos sexos;Region de Murcia;Mediana;2017;18.004
Ambos sexos;Region de Murcia;Mediana;2016;17.552
Ambos sexos;Region de Murcia;Mediana;2015;17.669
Ambos sexos;Region de Murcia;Mediana;2014;17.459
Ambos sexos;Region de Murcia;Mediana;2013;17.402
Ambos sexos;Region de Murcia;Mediana;2012;17.651
Ambos sexos;Region de Murcia;Mediana;2011;17.784
Ambos sexos;Region de Murcia;Mediana;2010;17.436
Ambos sexos;Region de Murcia;Mediana;2009;17.244
Ambos sexos;Region de Murcia;Mediana;2008;16.322
Ambos sexos;Navarra;Mediana;2022;26.334
Ambos sexos;Navarra;Mediana;2021;25.606
Ambos sexos;Navarra;Mediana;2020;25.212
Ambos sexos;Navarra;Mediana;2019;24.978
Ambos sexos;Navarra;Mediana;2018;23.603
Ambos sexos;Navarra;Mediana;2017;23.451
Ambos sexos;Navarra;Mediana;2016;22.578
Ambos sexos;Navarra;Mediana;2015;22.424
Ambos sexos;Navarra;Mediana;2014;22.258
Ambos sexos;Navarra;Mediana;2013;21.361
Ambos sexos;Navarra;Mediana;2012;21.477
Ambos sexos;Navarra;Mediana;2011;22.511
Ambos sexos;Navarra;Mediana;2010;21.633
Ambos sexos;Navarra;Mediana;2009;21.482
Ambos sexos;Navarra;Mediana;2008;21.370
Ambos sexos;Pais Vasco;Mediana;2022;28.857
Ambos sexos;Pais Vasco;Mediana;2021;27.884
Ambos sexos;Pais Vasco;Mediana;2020;26.789
Ambos sexos;Pais Vasco;Mediana;2019;26.104
Ambos sexos;Pais Vasco;Mediana;2018;25.428
Ambos sexos;Pais Vasco;Mediana;2017;25.584
Ambos sexos;Pais Vasco;Mediana;2016;24.939
Ambos sexos;Pais Vasco;Mediana;2015;25.172
Ambos sexos;Pais Vasco;Mediana;2014;25.601
Ambos sexos;Pais Vasco;Mediana;2013;23.729
Ambos sexos;Pais Vasco;Mediana;2012;23.974
Ambos sexos;Pais Vasco;Mediana;2011;24.197
Ambos sexos;Pais Vasco;Mediana;2010;23.799
Ambos sexos;Pais Vasco;Mediana;2009;23.856
Ambos sexos;Pais Vasco;Mediana;2008;23.144
