;Comunidad;Provincia;Fecha;Precio
87;andalucia;almeria-provincia;Agosto 2017;1.071 €/m2
88;andalucia;almeria-provincia;Julio 2017;1.080 €/m2
89;andalucia;almeria-provincia;Junio 2017;1.059 €/m2
90;andalucia;almeria-provincia;Mayo 2017;1.060 €/m2
91;andalucia;almeria-provincia;Abril 2017;1.062 €/m2
92;andalucia;almeria-provincia;Marzo 2017;1.065 €/m2
93;andalucia;almeria-provincia;Febrero 2017;1.062 €/m2
94;andalucia;almeria-provincia;Enero 2017;1.057 €/m2
95;andalucia;almeria-provincia;Diciembre 2016;1.064 €/m2
96;andalucia;almeria-provincia;Noviembre 2016;1.068 €/m2
97;andalucia;almeria-provincia;Octubre 2016;1.065 €/m2
98;andalucia;almeria-provincia;Septiembre 2016;1.061 €/m2
99;andalucia;almeria-provincia;Agosto 2016;1.067 €/m2
100;andalucia;almeria-provincia;Julio 2016;1.057 €/m2
101;andalucia;almeria-provincia;Junio 2016;1.069 €/m2
102;andalucia;almeria-provincia;Mayo 2016;1.084 €/m2
103;andalucia;almeria-provincia;Abril 2016;1.078 €/m2
104;andalucia;almeria-provincia;Marzo 2016;1.082 €/m2
105;andalucia;almeria-provincia;Febrero 2016;1.079 €/m2
106;andalucia;almeria-provincia;Enero 2016;1.074 €/m2
107;andalucia;almeria-provincia;Diciembre 2015;1.060 €/m2
108;andalucia;almeria-provincia;Noviembre 2015;1.069 €/m2
109;andalucia;almeria-provincia;Octubre 2015;1.082 €/m2
110;andalucia;almeria-provincia;Septiembre 2015;1.102 €/m2
111;andalucia;almeria-provincia;Agosto 2015;1.106 €/m2
112;andalucia;almeria-provincia;Julio 2015;1.103 €/m2
113;andalucia;almeria-provincia;Junio 2015;1.115 €/m2
114;andalucia;almeria-provincia;Mayo 2015;1.119 €/m2
115;andalucia;almeria-provincia;Abril 2015;1.117 €/m2
116;andalucia;almeria-provincia;Marzo 2015;1.123 €/m2
117;andalucia;almeria-provincia;Febrero 2015;1.129 €/m2
118;andalucia;almeria-provincia;Enero 2015;1.130 €/m2
119;andalucia;almeria-provincia;Diciembre 2014;1.122 €/m2
120;andalucia;almeria-provincia;Noviembre 2014;1.123 €/m2
121;andalucia;almeria-provincia;Octubre 2014;1.120 €/m2
122;andalucia;almeria-provincia;Septiembre 2014;1.116 €/m2
123;andalucia;almeria-provincia;Agosto 2014;1.117 €/m2
124;andalucia;almeria-provincia;Julio 2014;1.119 €/m2
125;andalucia;almeria-provincia;Junio 2014;1.126 €/m2
126;andalucia;almeria-provincia;Mayo 2014;1.135 €/m2
127;andalucia;almeria-provincia;Abril 2014;1.124 €/m2
128;andalucia;almeria-provincia;Marzo 2014;1.146 €/m2
129;andalucia;almeria-provincia;Febrero 2014;1.184 €/m2
130;andalucia;almeria-provincia;Enero 2014;1.192 €/m2
131;andalucia;almeria-provincia;Diciembre 2013;1.198 €/m2
132;andalucia;almeria-provincia;Noviembre 2013;1.211 €/m2
133;andalucia;almeria-provincia;Octubre 2013;1.218 €/m2
134;andalucia;almeria-provincia;Septiembre 2013;1.226 €/m2
135;andalucia;almeria-provincia;Agosto 2013;1.231 €/m2
136;andalucia;almeria-provincia;Julio 2013;1.227 €/m2
137;andalucia;almeria-provincia;Junio 2013;1.226 €/m2
138;andalucia;almeria-provincia;Mayo 2013;1.245 €/m2
139;andalucia;almeria-provincia;Abril 2013;1.262 €/m2
140;andalucia;almeria-provincia;Marzo 2013;1.273 €/m2
141;andalucia;almeria-provincia;Febrero 2013;1.274 €/m2
142;andalucia;almeria-provincia;Enero 2013;1.276 €/m2
143;andalucia;almeria-provincia;Diciembre 2012;1.271 €/m2
144;andalucia;almeria-provincia;Noviembre 2012;1.280 €/m2
145;andalucia;almeria-provincia;Octubre 2012;1.309 €/m2
146;andalucia;almeria-provincia;Septiembre 2012;1.312 €/m2
147;andalucia;almeria-provincia;Agosto 2012;1.329 €/m2
148;andalucia;almeria-provincia;Julio 2012;1.344 €/m2
149;andalucia;almeria-provincia;Junio 2012;1.350 €/m2
150;andalucia;almeria-provincia;Mayo 2012;1.359 €/m2
151;andalucia;almeria-provincia;Abril 2012;1.366 €/m2
152;andalucia;almeria-provincia;Marzo 2012;1.390 €/m2
153;andalucia;almeria-provincia;Febrero 2012;1.399 €/m2
154;andalucia;almeria-provincia;Enero 2012;1.413 €/m2
155;andalucia;almeria-provincia;Diciembre 2011;1.427 €/m2
156;andalucia;almeria-provincia;Noviembre 2011;1.438 €/m2
157;andalucia;almeria-provincia;Octubre 2011;1.438 €/m2
158;andalucia;almeria-provincia;Septiembre 2011;1.446 €/m2
159;andalucia;almeria-provincia;Agosto 2011;1.456 €/m2
160;andalucia;almeria-provincia;Julio 2011;1.458 €/m2
161;andalucia;almeria-provincia;Junio 2011;1.476 €/m2
162;andalucia;almeria-provincia;Mayo 2011;1.501 €/m2
163;andalucia;almeria-provincia;Abril 2011;1.511 €/m2
164;andalucia;almeria-provincia;Marzo 2011;1.528 €/m2
165;andalucia;almeria-provincia;Febrero 2011;1.521 €/m2
166;andalucia;almeria-provincia;Enero 2011;1.525 €/m2
167;andalucia;almeria-provincia;Diciembre 2010;1.502 €/m2
168;andalucia;almeria-provincia;Noviembre 2010;1.459 €/m2
169;andalucia;almeria-provincia;Octubre 2010;1.476 €/m2
