;Provincia;Fecha;Poblacion;Comunidad;Poblacion_normalizado
2203;Murcia;2007-01-01;1385715.0;Region de Murcia;0.17252708355144752
2205;Murcia;2006-07-01;1367430.0;Region de Murcia;0.08136781282561334
2207;Murcia;2006-01-01;1351109.0;Region de Murcia;0.0
2208;Navarra;2023-01-01;672155.0;Navarra;1.0
2209;Navarra;2022-10-01;670606.0;Navarra;0.9806396780362209
2210;Navarra;2022-07-01;667958.0;Navarra;0.9475434013673462
2211;Navarra;2022-04-01;666111.0;Navarra;0.9244584984189279
2212;Navarra;2022-01-01;664514.0;Navarra;0.9044982439475558
2213;Navarra;2021-10-01;662964.0;Navarra;0.8851254233898687
2214;Navarra;2021-07-01;661286.0;Navarra;0.8641527828119336
2215;Navarra;2021-04-01;661769.0;Navarra;0.8701896036695872
2216;Navarra;2021-01-01;662032.0;Navarra;0.87347673386744
2218;Navarra;2020-07-01;661008.0;Navarra;0.8606781737054582
2220;Navarra;2020-01-01;659907.0;Navarra;0.8469172218125461
2222;Navarra;2019-07-01;655668.0;Navarra;0.7939356822357485
2224;Navarra;2019-01-01;652797.0;Navarra;0.7580522191253484
2226;Navarra;2018-07-01;648803.0;Navarra;0.7081328350560562
2228;Navarra;2018-01-01;646340.0;Navarra;0.6773487982601957
2230;Navarra;2017-07-01;643105.0;Navarra;0.6369158469672161
2232;Navarra;2017-01-01;642075.0;Navarra;0.6240422952417853
2234;Navarra;2016-07-01;639847.0;Navarra;0.5961954280143484
2236;Navarra;2016-01-01;638922.0;Navarra;0.5846342286492769
2238;Navarra;2015-07-01;637476.0;Navarra;0.566561261858041
2240;Navarra;2015-01-01;637317.0;Navarra;0.5645739854266395
2242;Navarra;2014-07-01;636803.0;Navarra;0.5581497081578323
2244;Navarra;2014-01-01;637099.0;Navarra;0.561849291954655
2246;Navarra;2013-07-01;637447.0;Navarra;0.5661988026347036
2248;Navarra;2013-01-01;639089.0;Navarra;0.5867214938319439
2250;Navarra;2012-07-01;639255.0;Navarra;0.5887962604207027
2252;Navarra;2012-01-01;640023.0;Navarra;0.598395180542189
2254;Navarra;2011-07-01;638581.0;Navarra;0.5803722081265857
2256;Navarra;2011-01-01;637099.0;Navarra;0.561849291954655
2258;Navarra;2010-07-01;634983.0;Navarra;0.5354022672449349
2260;Navarra;2010-01-01;633017.0;Navarra;0.5108300316214426
2262;Navarra;2009-07-01;630109.0;Navarra;0.4744841205364396
2264;Navarra;2009-01-01;627276.0;Navarra;0.4390756039945506
2266;Navarra;2008-07-01;621976.0;Navarra;0.37283305628116836
2268;Navarra;2008-01-01;616711.0;Navarra;0.3070279593545726
2270;Navarra;2007-07-01;609776.0;Navarra;0.22035021060130736
2272;Navarra;2007-01-01;602831.0;Navarra;0.13354747590896024
2274;Navarra;2006-07-01;596637.0;Navarra;0.05613118524166031
2276;Navarra;2006-01-01;592146.0;Navarra;0.0
2277;Ourense;2023-01-01;304563.0;Galicia;0.021675105066348985
2278;Ourense;2022-10-01;304368.0;Galicia;0.015222211191634402
2279;Ourense;2022-07-01;304225.0;Galicia;0.010490089016843708
2280;Ourense;2022-04-01;303908.0;Galicia;0.0
2281;Ourense;2022-01-01;304223.0;Galicia;0.010423905489923557
2282;Ourense;2021-10-01;304446.0;Galicia;0.017803368741520234
2283;Ourense;2021-07-01;304156.0;Galicia;0.008206757338098548
2284;Ourense;2021-04-01;304615.0;Galicia;0.023395876766272874
2285;Ourense;2021-01-01;305297.0;Galicia;0.04596445944604388
2287;Ourense;2020-07-01;305656.0;Galicia;0.05784440252821073
2289;Ourense;2020-01-01;306825.0;Galicia;0.09652867401303815
2291;Ourense;2019-07-01;306713.0;Galicia;0.09282239650550977
2293;Ourense;2019-01-01;307764.0;Galicia;0.12760183990204838
2295;Ourense;2018-07-01;307992.0;Galicia;0.13514676197094544
2297;Ourense;2018-01-01;309290.0;Galicia;0.1780998709421225
2299;Ourense;2017-07-01;309853.0;Galicia;0.1967305337701446
2301;Ourense;2017-01-01;311385.0;Galicia;0.2474271153909792
2303;Ourense;2016-07-01;312649.0;Galicia;0.28925510440451374
2305;Ourense;2016-01-01;314476.0;Galicia;0.3497137562460704
2307;Ourense;2015-07-01;315914.0;Galicia;0.3972997121016579
2309;Ourense;2015-01-01;318288.0;Galicia;0.4758595585558754
2311;Ourense;2014-07-01;319786.0;Galicia;0.5254310202190675
2313;Ourense;2014-01-01;321472.0;Galicia;0.5812237334127536
2315;Ourense;2013-07-01;322991.0;Galicia;0.6314901221086072
2317;Ourense;2013-01-01;325140.0;Galicia;0.7026043217843079
2319;Ourense;2012-07-01;326207.0;Galicia;0.7379132333962077
2321;Ourense;2012-01-01;328188.0;Galicia;0.8034680168106159
2323;Ourense;2011-07-01;329000.0;Galicia;0.8303385287401965
2325;Ourense;2011-01-01;330019.0;Galicia;0.8640590357060127
2327;Ourense;2010-07-01;330526.0;Galicia;0.8808365597802706
2329;Ourense;2010-01-01;331649.0;Galicia;0.9179986101459346
2331;Ourense;2009-07-01;331710.0;Galicia;0.9200172077169992
2333;Ourense;2009-01-01;332163.0;Galicia;0.9350077765644131
2335;Ourense;2008-07-01;332235.0;Galicia;0.9373903835335385
2337;Ourense;2008-01-01;332808.0;Galicia;0.9563519639961614
2339;Ourense;2007-07-01;332897.0;Galicia;0.959297130944108
2341;Ourense;2007-01-01;333549.0;Galicia;0.9808729607200768
2343;Ourense;2006-07-01;333386.0;Galicia;0.9754790032760846
2345;Ourense;2006-01-01;334127.0;Galicia;1.0
2346;Palencia;2023-01-01;157787.0;Castilla y Leon;0.0
2347;Palencia;2022-10-01;157871.0;Castilla y Leon;0.0056179775280898875
2348;Palencia;2022-07-01;158005.0;Castilla y Leon;0.014579989299090422
2349;Palencia;2022-04-01;157904.0;Castilla y Leon;0.007825040128410916
2350;Palencia;2022-01-01;157993.0;Castilla y Leon;0.013777421080791868
2351;Palencia;2021-10-01;158138.0;Castilla y Leon;0.023475120385232744
2352;Palencia;2021-07-01;158311.0;Castilla y Leon;0.03504547886570358
2353;Palencia;2021-04-01;158569.0;Castilla y Leon;0.05230069555912253
2354;Palencia;2021-01-01;159146.0;Castilla y Leon;0.0908908507223114
2356;Palencia;2020-07-01;159827.0;Castilla y Leon;0.13643659711075443
2358;Palencia;2020-01-01;160357.0;Castilla y Leon;0.17188336008560728
2360;Palencia;2019-07-01;160625.0;Castilla y Leon;0.18980738362760835
2362;Palencia;2019-01-01;161053.0;Castilla y Leon;0.21843231674692348
2364;Palencia;2018-07-01;161436.0;Castilla y Leon;0.24404761904761904
2366;Palencia;2018-01-01;162064.0;Castilla y Leon;0.2860486891385768
2368;Palencia;2017-07-01;162462.0;Castilla y Leon;0.3126672017121455
2370;Palencia;2017-01-01;163221.0;Castilla y Leon;0.36342964151952917
2372;Palencia;2016-07-01;163755.0;Castilla y Leon;0.39914392723381487
2374;Palencia;2016-01-01;164421.0;Castilla y Leon;0.4436864633493847
2376;Palencia;2015-07-01;164962.0;Castilla y Leon;0.4798689138576779
2378;Palencia;2015-01-01;165820.0;Castilla y Leon;0.5372525414660246
2380;Palencia;2014-07-01;166484.0;Castilla y Leon;0.581661316211878
2382;Palencia;2014-01-01;167237.0;Castilla y Leon;0.6320224719101124
2384;Palencia;2013-07-01;167818.0;Castilla y Leon;0.670880149812734
2386;Palencia;2013-01-01;168670.0;Castilla y Leon;0.7278624933119315
2388;Palencia;2012-07-01;169417.0;Castilla y Leon;0.7778223649010166
2390;Palencia;2012-01-01;170301.0;Castilla y Leon;0.8369448903156769
2392;Palencia;2011-07-01;170819.0;Castilla y Leon;0.8715890850722311
2394;Palencia;2011-01-01;171305.0;Castilla y Leon;0.9040930979133226
2396;Palencia;2010-07-01;171543.0;Castilla y Leon;0.9200107009095773
2398;Palencia;2010-01-01;171894.0;Castilla y Leon;0.9434858212948101
2400;Palencia;2009-07-01;172358.0;Castilla y Leon;0.9745184590690209
2402;Palencia;2009-01-01;172665.0;Castilla y Leon;0.9950508293204923
2404;Palencia;2008-07-01;172703.0;Castilla y Leon;0.9975922953451043
2406;Palencia;2008-01-01;172709.0;Castilla y Leon;0.9979935794542536
2408;Palencia;2007-07-01;172739.0;Castilla y Leon;1.0
2410;Palencia;2007-01-01;172566.0;Castilla y Leon;0.9884296415195292
2412;Palencia;2006-07-01;172400.0;Castilla y Leon;0.9773274478330658
2414;Palencia;2006-01-01;172438.0;Castilla y Leon;0.9798689138576779
2415;Las Palmas;2023-01-01;1145843.0;Canarias;1.0
2416;Las Palmas;2022-10-01;1142688.0;Canarias;0.9795157803156712
2417;Las Palmas;2022-07-01;1139398.0;Canarias;0.9581550567779719
2418;Las Palmas;2022-04-01;1136069.0;Canarias;0.9365411210159653
2419;Las Palmas;2022-01-01;1133733.0;Canarias;0.9213743580420851
2420;Las Palmas;2021-10-01;1131222.0;Canarias;0.9050713863693912
2421;Las Palmas;2021-07-01;1129636.0;Canarias;0.8947740892475702
2422;Las Palmas;2021-04-01;1130862.0;Canarias;0.9027340427604028
2423;Las Palmas;2021-01-01;1131359.0;Canarias;0.905960875465034
2425;Las Palmas;2020-07-01;1134048.0;Canarias;0.92341953369995
2427;Las Palmas;2020-01-01;1131195.0;Canarias;0.904896085598717
2429;Las Palmas;2019-07-01;1125339.0;Canarias;0.8668752962258394
2431;Las Palmas;2019-01-01;1121686.0;Canarias;0.8431577512157433
2433;Las Palmas;2018-07-01;1115535.0;Canarias;0.8032216386077223
2435;Las Palmas;2018-01-01;1111873.0;Canarias;0.7794456600074016
2437;Las Palmas;2017-07-01;1107549.0;Canarias;0.7513715662149967
2439;Las Palmas;2017-01-01;1105579.0;Canarias;0.7385811025769213
2441;Las Palmas;2016-07-01;1101817.0;Canarias;0.7141558618629927
2443;Las Palmas;2016-01-01;1099894.0;Canarias;0.7016705514183131
2445;Las Palmas;2015-07-01;1097430.0;Canarias;0.6856727329390148
2447;Las Palmas;2015-01-01;1097578.0;Canarias;0.6866336408671545
2449;Las Palmas;2014-07-01;1094934.0;Canarias;0.669467150583362
2451;Las Palmas;2014-01-01;1094856.0;Canarias;0.6689607261347479
2453;Las Palmas;2013-07-01;1094631.0;Canarias;0.6674998863791302
2455;Las Palmas;2013-01-01;1094875.0;Canarias;0.6690840859363334
2457;Las Palmas;2012-07-01;1090168.0;Canarias;0.6385233182488103
2459;Las Palmas;2012-01-01;1089051.0;Canarias;0.6312710604398102
2461;Las Palmas;2011-07-01;1082604.0;Canarias;0.5894131319755098
2463;Las Palmas;2011-01-01;1077087.0;Canarias;0.5535933411677628
2465;Las Palmas;2010-07-01;1070800.0;Canarias;0.5127742320852351
2467;Las Palmas;2010-01-01;1066491.0;Canarias;0.4847975276098714
2469;Las Palmas;2009-07-01;1061052.0;Canarias;0.44948416125073853
2471;Las Palmas;2009-01-01;1056361.0;Canarias;0.4190272755013927
2473;Las Palmas;2008-07-01;1048847.0;Canarias;0.3702417202848962
2475;Las Palmas;2008-01-01;1040110.0;Canarias;0.31351568941897534
2477;Las Palmas;2007-07-01;1027754.0;Canarias;0.2332928626615851
2479;Las Palmas;2007-01-01;1016209.0;Canarias;0.15833555164555482
2481;Las Palmas;2006-07-01;1003280.0;Canarias;0.07439245297719142
2483;Las Palmas;2006-01-01;991822.0;Canarias;0.0
2484;Pontevedra;2023-01-01;946710.0;Galicia;0.6957762134123749
2485;Pontevedra;2022-10-01;946404.0;Galicia;0.6844386809929603
2486;Pontevedra;2022-07-01;945557.0;Galicia;0.6530566876620971
2487;Pontevedra;2022-04-01;944782.0;Galicia;0.6243423490181549
2488;Pontevedra;2022-01-01;945198.0;Galicia;0.6397554649870323
2489;Pontevedra;2021-10-01;944923.0;Galicia;0.6295665061133753
2490;Pontevedra;2021-07-01;944358.0;Galicia;0.608632826972953
2491;Pontevedra;2021-04-01;945213.0;Galicia;0.6403112263801408
2492;Pontevedra;2021-01-01;946311.0;Galicia;0.6809929603556872
2494;Pontevedra;2020-07-01;945388.0;Galicia;0.6467951092997406
2496;Pontevedra;2020-01-01;946213.0;Galicia;0.6773619859207114
2498;Pontevedra;2019-07-01;943844.0;Galicia;0.5895887365690997
2500;Pontevedra;2019-01-01;942944.0;Galicia;0.5562430529825861
2502;Pontevedra;2018-07-01;942535.0;Galicia;0.5410892923304927
2504;Pontevedra;2018-01-01;942556.0;Galicia;0.5418673582808448
2506;Pontevedra;2017-07-01;942320.0;Galicia;0.5331233790292701
2508;Pontevedra;2017-01-01;944116.0;Galicia;0.5996665431641348
2510;Pontevedra;2016-07-01;944366.0;Galicia;0.6089292330492775
2512;Pontevedra;2016-01-01;945852.0;Galicia;0.6639866617265654
2514;Pontevedra;2015-07-01;946460.0;Galicia;0.6865135235272323
2516;Pontevedra;2015-01-01;948487.0;Galicia;0.7616154131159689
2518;Pontevedra;2014-07-01;948864.0;Galicia;0.775583549462764
2520;Pontevedra;2014-01-01;950254.0;Galicia;0.8270841052241571
2522;Pontevedra;2013-07-01;951442.0;Galicia;0.8711004075583549
2524;Pontevedra;2013-01-01;953087.0;Galicia;0.9320489070025936
2526;Pontevedra;2012-07-01;953419.0;Galicia;0.944349759170063
2528;Pontevedra;2012-01-01;954921.0;Galicia;1.0
2530;Pontevedra;2011-07-01;954133.0;Galicia;0.9708040014820304
2532;Pontevedra;2011-01-01;953802.0;Galicia;0.9585402000741016
2534;Pontevedra;2010-07-01;952419.0;Galicia;0.9072989996294925
2536;Pontevedra;2010-01-01;951701.0;Galicia;0.8806965542793628
2538;Pontevedra;2009-07-01;949561.0;Galicia;0.8014079288625416
2540;Pontevedra;2009-01-01;947703.0;Galicia;0.7325676176361615
2542;Pontevedra;2008-07-01;944201.0;Galicia;0.6028158577250834
2544;Pontevedra;2008-01-01;940727.0;Galicia;0.4741015190811412
2546;Pontevedra;2007-07-01;937033.0;Galicia;0.3372360133382734
2548;Pontevedra;2007-01-01;933944.0;Galicia;0.22278621711745092
2550;Pontevedra;2006-07-01;930442.0;Galicia;0.09303445720637273
2552;Pontevedra;2006-01-01;927931.0;Galicia;0.0
2553;La Rioja;2023-01-01;322282.0;La Rioja;1.0
2554;La Rioja;2022-10-01;321679.0;La Rioja;0.9692111309675773
2555;La Rioja;2022-07-01;320985.0;La Rioja;0.9337758488639265
2556;La Rioja;2022-04-01;320156.0;La Rioja;0.8914475363798826
2557;La Rioja;2022-01-01;319617.0;La Rioja;0.8639264743426092
2558;La Rioja;2021-10-01;319621.0;La Rioja;0.864130712279806
2559;La Rioja;2021-07-01;319231.0;La Rioja;0.8442175134031147
2560;La Rioja;2021-04-01;319457.0;La Rioja;0.8557569568547357
2561;La Rioja;2021-01-01;319444.0;La Rioja;0.855093183558846
2563;La Rioja;2020-07-01;319123.0;La Rioja;0.8387030890988001
2565;La Rioja;2020-01-01;318703.0;La Rioja;0.8172581056931325
2567;La Rioja;2019-07-01;317044.0;La Rioja;0.7325504212407454
2569;La Rioja;2019-01-01;315967.0;La Rioja;0.6775593566504978
2571;La Rioja;2018-07-01;314882.0;La Rioja;0.6221598161858565
2573;La Rioja;2018-01-01;314890.0;La Rioja;0.6225682920602502
2575;La Rioja;2017-07-01;314155.0;La Rioja;0.5850395711003319
2577;La Rioja;2017-01-01;314136.0;La Rioja;0.5840694408986469
2579;La Rioja;2016-07-01;314010.0;La Rioja;0.5776359458769467
2581;La Rioja;2016-01-01;314025.0;La Rioja;0.5784018381414348
2583;La Rioja;2015-07-01;313863.0;La Rioja;0.570130201684963
2585;La Rioja;2015-01-01;314457.0;La Rioja;0.6004595353586929
2587;La Rioja;2014-07-01;314747.0;La Rioja;0.6152667858054633
2589;La Rioja;2014-01-01;315736.0;La Rioja;0.6657646157773807
2591;La Rioja;2013-07-01;317224.0;La Rioja;0.741741128414603
2593;La Rioja;2013-01-01;318819.0;La Rioja;0.8231810058718407
2595;La Rioja;2012-07-01;320062.0;La Rioja;0.8866479448557569
2597;La Rioja;2012-01-01;320951.0;La Rioja;0.9320398263977534
2599;La Rioja;2011-07-01;321050.0;La Rioja;0.9370947153433751
2601;La Rioja;2011-01-01;320850.0;La Rioja;0.9268828184835333
2603;La Rioja;2010-07-01;319888.0;La Rioja;0.8777635945876947
2605;La Rioja;2010-01-01;319939.0;La Rioja;0.8803676282869543
2607;La Rioja;2009-07-01;319786.0;La Rioja;0.8725555271891754
2609;La Rioja;2009-01-01;319786.0;La Rioja;0.8725555271891754
2611;La Rioja;2008-07-01;318448.0;La Rioja;0.8042379371968343
2613;La Rioja;2008-01-01;316192.0;La Rioja;0.6890477406178198
2615;La Rioja;2007-07-01;312369.0;La Rioja;0.49384733214194537
2617;La Rioja;2007-01-01;308118.0;La Rioja;0.2767934643860097
2619;La Rioja;2006-07-01;304870.0;La Rioja;0.11095225938218024
2621;La Rioja;2006-01-01;302697.0;La Rioja;0.0
2622;Salamanca;2023-01-01;327089.0;Castilla y Leon;0.03915033729521362
2623;Salamanca;2022-10-01;326854.0;Castilla y Leon;0.029714102152264697
2624;Salamanca;2022-07-01;326545.0;Castilla y Leon;0.017306456794089303
2625;Salamanca;2022-04-01;326114.0;Castilla y Leon;0.0
2626;Salamanca;2022-01-01;326285.0;Castilla y Leon;0.006866366848699004
2627;Salamanca;2021-10-01;326125.0;Castilla y Leon;0.00044169611307420494
2628;Salamanca;2021-07-01;326233.0;Castilla y Leon;0.004778348859620945
2629;Salamanca;2021-04-01;326898.0;Castilla y Leon;0.03148088660456152
2630;Salamanca;2021-01-01;327735.0;Castilla y Leon;0.06508994539029875
2632;Salamanca;2020-07-01;328695.0;Castilla y Leon;0.10363796980404755
2634;Salamanca;2020-01-01;330834.0;Castilla y Leon;0.18952778670093157
2636;Salamanca;2019-07-01;331187.0;Castilla y Leon;0.2037022165114038
2638;Salamanca;2019-01-01;332044.0;Castilla y Leon;0.23811435913909412
2640;Salamanca;2018-07-01;332489.0;Castilla y Leon;0.2559829746225506
2642;Salamanca;2018-01-01;333500.0;Castilla y Leon;0.2965788628332798
2644;Salamanca;2017-07-01;334117.0;Castilla y Leon;0.32135399935753295
2646;Salamanca;2017-01-01;335783.0;Castilla y Leon;0.38825088339222613
2648;Salamanca;2016-07-01;336824.0;Castilla y Leon;0.430051397365885
2650;Salamanca;2016-01-01;338308.0;Castilla y Leon;0.489640218438805
2652;Salamanca;2015-07-01;339671.0;Castilla y Leon;0.5443703822679088
2654;Salamanca;2015-01-01;341635.0;Castilla y Leon;0.6232332155477032
2656;Salamanca;2014-07-01;342781.0;Castilla y Leon;0.6692499196916158
2658;Salamanca;2014-01-01;344104.0;Castilla y Leon;0.7223739158368133
2660;Salamanca;2013-07-01;345492.0;Castilla y Leon;0.7781079344683585
2662;Salamanca;2013-01-01;347040.0;Castilla y Leon;0.8402666238355284
2664;Salamanca;2012-07-01;348108.0;Castilla y Leon;0.883151300995824
2666;Salamanca;2012-01-01;349625.0;Castilla y Leon;0.9440652104079665
2668;Salamanca;2011-07-01;350206.0;Castilla y Leon;0.9673947960167042
2670;Salamanca;2011-01-01;350819.0;Castilla y Leon;0.9920093157725667
2672;Salamanca;2010-07-01;350888.0;Castilla y Leon;0.9947799550273049
2674;Salamanca;2010-01-01;350901.0;Castilla y Leon;0.9953019595245743
2676;Salamanca;2009-07-01;350954.0;Castilla y Leon;0.9974301317057501
2678;Salamanca;2009-01-01;351018.0;Castilla y Leon;1.0
2680;Salamanca;2008-07-01;350463.0;Castilla y Leon;0.9777144233858015
2682;Salamanca;2008-01-01;349843.0;Castilla y Leon;0.9528188242852553
2684;Salamanca;2007-07-01;348602.0;Castilla y Leon;0.9029874718920655
2686;Salamanca;2007-01-01;347713.0;Castilla y Leon;0.8672903951172503
2688;Salamanca;2006-07-01;346862.0;Castilla y Leon;0.8331191776421458
2690;Salamanca;2006-01-01;346299.0;Castilla y Leon;0.8105123674911661
2691;Santa Cruz de Tenerife;2023-01-01;1067173.0;Canarias;1.0
2692;Santa Cruz de Tenerife;2022-10-01;1062661.0;Canarias;0.9716913656155497
2693;Santa Cruz de Tenerife;2022-07-01;1057929.0;Canarias;0.9420024343417867
2694;Santa Cruz de Tenerife;2022-04-01;1053850.0;Canarias;0.9164104751985745
2695;Santa Cruz de Tenerife;2022-01-01;1051874.0;Canarias;0.9040128995018383
2696;Santa Cruz de Tenerife;2021-10-01;1048747.0;Canarias;0.8843938614432886
2697;Santa Cruz de Tenerife;2021-07-01;1047280.0;Canarias;0.8751897908222805
2698;Santa Cruz de Tenerife;2021-04-01;1047076.0;Canarias;0.8739098791612814
2699;Santa Cruz de Tenerife;2021-01-01;1047565.0;Canarias;0.8769779027016175
2701;Santa Cruz de Tenerife;2020-07-01;1046360.0;Canarias;0.8694176401942454
2703;Santa Cruz de Tenerife;2020-01-01;1045045.0;Canarias;0.861167229242217
2705;Santa Cruz de Tenerife;2019-07-01;1037706.0;Canarias;0.815121779830098
2707;Santa Cruz de Tenerife;2019-01-01;1031630.0;Canarias;0.777000489377988
2709;Santa Cruz de Tenerife;2018-07-01;1023709.0;Canarias;0.7273035272859598
2711;Santa Cruz de Tenerife;2018-01-01;1019708.0;Canarias;0.7022009461307769
2713;Santa Cruz de Tenerife;2017-07-01;1012837.0;Canarias;0.6590917646468322
2715;Santa Cruz de Tenerife;2017-01-01;1009654.0;Canarias;0.6391213782891847
2717;Santa Cruz de Tenerife;2016-07-01;1005125.0;Canarias;0.6107060845996511
2719;Santa Cruz de Tenerife;2016-01-01;1003542.0;Canarias;0.6007742210733691
2721;Santa Cruz de Tenerife;2015-07-01;1001842.0;Canarias;0.5901082905650433
2723;Santa Cruz de Tenerife;2015-01-01;1003741.0;Canarias;0.6020227623505201
2725;Santa Cruz de Tenerife;2014-07-01;1002370.0;Canarias;0.5934210030993939
2727;Santa Cruz de Tenerife;2014-01-01;1003299.0;Canarias;0.5992496204183554
2729;Santa Cruz de Tenerife;2013-07-01;1001583.0;Canarias;0.5884833046817161
2731;Santa Cruz de Tenerife;2013-01-01;1001461.0;Canarias;0.5877178673158244
2733;Santa Cruz de Tenerife;2012-07-01;997451.0;Canarias;0.562558819469715
2735;Santa Cruz de Tenerife;2012-01-01;996877.0;Canarias;0.5589574994039627
2737;Santa Cruz de Tenerife;2011-07-01;991381.0;Canarias;0.5244751734782227
2739;Santa Cruz de Tenerife;2011-01-01;987789.0;Canarias;0.5019386897218074
2741;Santa Cruz de Tenerife;2010-07-01;982316.0;Canarias;0.46760066756176827
2743;Santa Cruz de Tenerife;2010-01-01;978677.0;Canarias;0.4447693021971817
2745;Santa Cruz de Tenerife;2009-07-01;973113.0;Canarias;0.40986033905110864
2747;Santa Cruz de Tenerife;2009-01-01;969125.0;Canarias;0.38483932089393047
2749;Santa Cruz de Tenerife;2008-07-01;961118.0;Canarias;0.3346027881997164
2751;Santa Cruz de Tenerife;2008-01-01;951836.0;Canarias;0.2763668076242581
2753;Santa Cruz de Tenerife;2007-07-01;940212.0;Canarias;0.20343693925438872
2755;Santa Cruz de Tenerife;2007-01-01;929862.0;Canarias;0.13850024468899402
2757;Santa Cruz de Tenerife;2006-07-01;918566.0;Canarias;0.06762827349955454
2759;Santa Cruz de Tenerife;2006-01-01;907787.0;Canarias;0.0
2760;Segovia;2023-01-01;155332.0;Castilla y Leon;0.21810977966756862
2761;Segovia;2022-10-01;154576.0;Castilla y Leon;0.1450521839969076
2762;Segovia;2022-07-01;154224.0;Castilla y Leon;0.11103594897564747
2763;Segovia;2022-04-01;153958.0;Castilla y Leon;0.08533049864708156
2764;Segovia;2022-01-01;153731.0;Castilla y Leon;0.06339389253962119
2765;Segovia;2021-10-01;153698.0;Castilla y Leon;0.060204870506378044
2766;Segovia;2021-07-01;153588.0;Castilla y Leon;0.04957479706223425
2767;Segovia;2021-04-01;153846.0;Castilla y Leon;0.07450715114031697
2768;Segovia;2021-01-01;153626.0;Castilla y Leon;0.05324700425202938
2770;Segovia;2020-07-01;153075.0;Castilla y Leon;0.0
2772;Segovia;2020-01-01;153641.0;Castilla y Leon;0.05469655972168535
2774;Segovia;2019-07-01;153481.0;Castilla y Leon;0.03923463471202165
2776;Segovia;2019-01-01;153571.0;Castilla y Leon;0.04793196752995748
2778;Segovia;2018-07-01;153461.0;Castilla y Leon;0.037301894085813685
2780;Segovia;2018-01-01;153983.0;Castilla y Leon;0.08774642442984151
2782;Segovia;2017-07-01;154045.0;Castilla y Leon;0.0937379203710862
2784;Segovia;2017-01-01;154854.0;Castilla y Leon;0.1719172787011983
2786;Segovia;2016-07-01;155391.0;Castilla y Leon;0.2238113645148821
2788;Segovia;2016-01-01;155991.0;Castilla y Leon;0.281793583301121
2790;Segovia;2015-07-01;156732.0;Castilla y Leon;0.353401623502126
2792;Segovia;2015-01-01;157578.0;Castilla y Leon;0.43515655199072284
2794;Segovia;2014-07-01;158068.0;Castilla y Leon;0.4825086973328179
2796;Segovia;2014-01-01;158798.0;Castilla y Leon;0.5530537301894086
2798;Segovia;2013-07-01;159961.0;Castilla y Leon;0.6654425976034016
2800;Segovia;2013-01-01;161205.0;Castilla y Leon;0.785659064553537
2802;Segovia;2012-07-01;161854.0;Castilla y Leon;0.8483764978739853
2804;Segovia;2012-01-01;162937.0;Castilla y Leon;0.9530344027831466
2806;Segovia;2011-07-01;163250.0;Castilla y Leon;0.9832817935833011
2808;Segovia;2011-01-01;163423.0;Castilla y Leon;1.0
2810;Segovia;2010-07-01;163297.0;Castilla y Leon;0.9878237340548899
2812;Segovia;2010-01-01;163174.0;Castilla y Leon;0.9759373792037108
2814;Segovia;2009-07-01;163030.0;Castilla y Leon;0.9620216466950136
2816;Segovia;2009-01-01;163374.0;Castilla y Leon;0.9952647854657904
2818;Segovia;2008-07-01;163407.0;Castilla y Leon;0.9984538074990337
2820;Segovia;2008-01-01;163091.0;Castilla y Leon;0.9679165056049478
2822;Segovia;2007-07-01;161374.0;Castilla y Leon;0.8019907228449942
2824;Segovia;2007-01-01;159139.0;Castilla y Leon;0.5860069578662543
2826;Segovia;2006-07-01;157369.0;Castilla y Leon;0.41495941244684964
2828;Segovia;2006-01-01;156275.0;Castilla y Leon;0.30923850019327404
2829;Sevilla;2023-01-01;1959394.0;Andalucia;1.0
2830;Sevilla;2022-10-01;1956169.0;Andalucia;0.9787020465847328
2831;Sevilla;2022-07-01;1952904.0;Andalucia;0.9571399325069507
2832;Sevilla;2022-04-01;1950812.0;Andalucia;0.9433243298574193
2833;Sevilla;2022-01-01;1949558.0;Andalucia;0.9350428930875758
2834;Sevilla;2021-10-01;1947236.0;Andalucia;0.9197083666285835
2835;Sevilla;2021-07-01;1947691.0;Andalucia;0.922713194164691
2836;Sevilla;2021-04-01;1948821.0;Andalucia;0.9301757328807381
2837;Sevilla;2021-01-01;1950056.0;Andalucia;0.9383316933358868
2839;Sevilla;2020-07-01;1950099.0;Andalucia;0.9386156660480904
2841;Sevilla;2020-01-01;1947848.0;Andalucia;0.9237500247650621
2843;Sevilla;2019-07-01;1943579.0;Andalucia;0.895557478058155
2845;Sevilla;2019-01-01;1941191.0;Andalucia;0.879787086506013
2847;Sevilla;2018-07-01;1938496.0;Andalucia;0.8619892618690688
2849;Sevilla;2018-01-01;1938007.0;Andalucia;0.8587598977698236
2851;Sevilla;2017-07-01;1936455.0;Andalucia;0.8485104640642439
2853;Sevilla;2017-01-01;1936735.0;Andalucia;0.8503595887018485
2855;Sevilla;2016-07-01;1935685.0;Andalucia;0.8434253713108313
2857;Sevilla;2016-01-01;1935590.0;Andalucia;0.8427979897373583
2859;Sevilla;2015-07-01;1934900.0;Andalucia;0.8382412183089755
2861;Sevilla;2015-01-01;1935135.0;Andalucia;0.8397931622012508
2863;Sevilla;2014-07-01;1934064.0;Andalucia;0.8327202604624132
2865;Sevilla;2014-01-01;1934058.0;Andalucia;0.832680636363036
2867;Sevilla;2013-07-01;1934359.0;Andalucia;0.834668445348461
