;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
1495;2007-03-01;Lugo;771.0;Galicia;0.048314325103396415
1497;2007-03-01;Madrid;24455.0;Comunidad de Madrid;0.3250006644871488
1499;2007-03-01;Malaga;31303.0;Andalucia;0.1755587336305768
1501;2007-03-01;Murcia;2244.0;Region de Murcia;0.06841463414634147
1503;2007-03-01;Navarra;2260.0;Navarra;0.08463468524135864
1505;2007-03-01;Santa Cruz de Tenerife;124347.0;Canarias;0.8552298550166442
1507;2007-03-01;Sevilla;3933.0;Andalucia;0.06486566721092474
1509;2007-03-01;Tarragona;1291.0;Cataluna;0.01570540504373426
1511;2007-03-01;Valencia;4909.0;Valencia;0.06702072468121126
1513;2007-04-01;A Coruna;912.0;Galicia;0.051962851119594325
1515;2007-04-01;Alicante;46915.0;Valencia;0.19410104921722438
1517;2007-04-01;Almeria;13106.0;Andalucia;0.2435425725647601
1519;2007-04-01;Asturias;4260.0;Principado de Asturias;0.16255198992635556
1521;2007-04-01;Barcelona;10342.0;Cataluna;0.2533375793057835
1523;2007-04-01;Cadiz;4856.0;Andalucia;0.08020215700199845
1525;2007-04-01;Cantabria;6416.0;Cantabria;0.2114281948197456
1527;2007-04-01;Castellon;15030.0;Valencia;0.16294272611962143
1529;2007-04-01;Cordoba;1294.0;Andalucia;0.12077655404144111
1531;2007-04-01;Girona;15710.0;Cataluna;0.10830972029755873
1533;2007-04-01;Granada;9376.0;Andalucia;0.2111426383822006
1535;2007-04-01;Guipuzcoa;186.0;Pais Vasco;0.0133764832793959
1537;2007-04-01;Huelva;3412.0;Andalucia;0.10905139350549732
1539;2007-04-01;Huesca;3093.0;Aragon;0.1943083301922352
1541;2007-04-01;Islas Baleares;39939.0;Islas Baleares;0.12189643122018513
1543;2007-04-01;Jaen;4580.0;Andalucia;0.4373985292713208
1545;2007-04-01;La Rioja;1070.0;La Rioja;0.06941290950373014
1547;2007-04-01;Las Palmas;237761.0;Canarias;0.7258082733736083
1549;2007-04-01;Lleida;1956.0;Cataluna;0.24668936814226258
1551;2007-04-01;Lugo;1396.0;Galicia;0.0874796340393533
1553;2007-04-01;Madrid;22866.0;Comunidad de Madrid;0.30388326289769557
1555;2007-04-01;Malaga;41118.0;Andalucia;0.23060486245478254
1557;2007-04-01;Murcia;5292.0;Region de Murcia;0.16134146341463415
1559;2007-04-01;Navarra;2716.0;Navarra;0.10171141819271243
1561;2007-04-01;Santa Cruz de Tenerife;113845.0;Canarias;0.7829995323117555
1563;2007-04-01;Sevilla;4910.0;Andalucia;0.08097900483235201
1565;2007-04-01;Tarragona;23119.0;Cataluna;0.2812496198343086
1567;2007-04-01;Valencia;8071.0;Valencia;0.11019031756000328
1569;2007-05-01;A Coruna;899.0;Galicia;0.05122215258389835
1571;2007-05-01;Alicante;42362.0;Valencia;0.1752639592228511
1573;2007-05-01;Almeria;13569.0;Andalucia;0.2521462816367488
1575;2007-05-01;Asturias;2035.0;Principado de Asturias;0.07765100927233182
1577;2007-05-01;Barcelona;11306.0;Cataluna;0.2769517183940426
1579;2007-05-01;Cadiz;3122.0;Andalucia;0.05156324838555172
1581;2007-05-01;Cantabria;2756.0;Cantabria;0.090819218348382
1583;2007-05-01;Castellon;8340.0;Valencia;0.09041532507236479
1585;2007-05-01;Cordoba;971.0;Andalucia;0.09062908344222513
1587;2007-05-01;Girona;17804.0;Cataluna;0.12274642012589022
1589;2007-05-01;Granada;5375.0;Andalucia;0.12104220150430121
1591;2007-05-01;Guipuzcoa;73.0;Pais Vasco;0.005249910104279036
1593;2007-05-01;Huelva;2956.0;Andalucia;0.09447711582715418
1595;2007-05-01;Huesca;1129.0;Aragon;0.07092599572810655
1597;2007-05-01;Islas Baleares;146575.0;Islas Baleares;0.4473564537444262
1599;2007-05-01;Jaen;2473.0;Andalucia;0.23617610543405596
1601;2007-05-01;La Rioja;423.0;La Rioja;0.027440804411287708
1603;2007-05-01;Las Palmas;173594.0;Canarias;0.5299269493651951
1605;2007-05-01;Lleida;731.0;Cataluna;0.092193214781183
1607;2007-05-01;Lugo;1036.0;Galicia;0.06492041609224214
1609;2007-05-01;Madrid;23942.0;Comunidad de Madrid;0.31818302634027057
1611;2007-05-01;Malaga;45630.0;Andalucia;0.25590981744763186
1613;2007-05-01;Murcia;4652.0;Region de Murcia;0.14182926829268291
1615;2007-05-01;Navarra;2155.0;Navarra;0.08070254278545481
1617;2007-05-01;Santa Cruz de Tenerife;84044.0;Canarias;0.5780351591515585
1619;2007-05-01;Sevilla;4718.0;Andalucia;0.07781241238269589
1621;2007-05-01;Tarragona;22889.0;Cataluna;0.2784516003454946
1623;2007-05-01;Valencia;6070.0;Valencia;0.0828714195997051
1625;2007-06-01;A Coruna;1078.0;Galicia;0.0614210016523275
1627;2007-06-01;Alicante;58942.0;Valencia;0.2438602588289809
1629;2007-06-01;Almeria;14880.0;Andalucia;0.2765079719032222
1631;2007-06-01;Asturias;2883.0;Principado de Asturias;0.11000877628114626
1633;2007-06-01;Barcelona;10364.0;Cataluna;0.2538764911936898
1635;2007-06-01;Cadiz;4836.0;Andalucia;0.07987183510330817
1637;2007-06-01;Cantabria;6409.0;Cantabria;0.21119752191392605
1639;2007-06-01;Castellon;27396.0;Valencia;0.29700458581325007
1641;2007-06-01;Cordoba;926.0;Andalucia;0.08642897143923838
1643;2007-06-01;Girona;45684.0;Cataluna;0.3149599784897309
1645;2007-06-01;Granada;4860.0;Andalucia;0.10944466963923793
1647;2007-06-01;Guipuzcoa;228.0;Pais Vasco;0.01639697950377562
1649;2007-06-01;Huelva;6332.0;Andalucia;0.2023779084633086
1651;2007-06-01;Huesca;2466.0;Aragon;0.15491895966830005
1653;2007-06-01;Islas Baleares;204881.0;Islas Baleares;0.6253101661239078
1655;2007-06-01;Jaen;2286.0;Andalucia;0.21831725718651512
1657;2007-06-01;La Rioja;696.0;La Rioja;0.04515082711644502
1659;2007-06-01;Las Palmas;201969.0;Canarias;0.6165467472167189
1661;2007-06-01;Lleida;1414.0;Cataluna;0.178332702736789
1663;2007-06-01;Lugo;1432.0;Galicia;0.08973555583406442
1665;2007-06-01;Madrid;25741.0;Comunidad de Madrid;0.3420912739547617
1667;2007-06-01;Malaga;59072.0;Andalucia;0.33129749586382884
1669;2007-06-01;Murcia;7283.0;Region de Murcia;0.22204268292682927
1671;2007-06-01;Navarra;2514.0;Navarra;0.09414672508706887
1673;2007-06-01;Santa Cruz de Tenerife;99463.0;Canarias;0.6840834685961099
1675;2007-06-01;Sevilla;3570.0;Andalucia;0.058878828360793625
1677;2007-06-01;Tarragona;45887.0;Cataluna;0.5582292186226445
1679;2007-06-01;Valencia;11840.0;Valencia;0.1616470523987658
1681;2007-07-01;A Coruna;1345.0;Galicia;0.076633810039314
1683;2007-07-01;Alicante;78003.0;Valencia;0.3227211796246649
1685;2007-07-01;Almeria;19532.0;Andalucia;0.36295387817296615
1687;2007-07-01;Asturias;5666.0;Principado de Asturias;0.2162017781508757
1689;2007-07-01;Barcelona;14224.0;Cataluna;0.34843103152634547
1691;2007-07-01;Cadiz;5882.0;Andalucia;0.09714767040480948
1693;2007-07-01;Cantabria;11015.0;Cantabria;0.36298029394318854
1695;2007-07-01;Castellon;35303.0;Valencia;0.38272568597478346
1697;2007-07-01;Cordoba;509.0;Andalucia;0.04750793354489453
1699;2007-07-01;Girona;66481.0;Cataluna;0.45834108943997465
1701;2007-07-01;Granada;6180.0;Andalucia;0.13917038238075935
1703;2007-07-01;Guipuzcoa;171.0;Pais Vasco;0.012297734627831715
1705;2007-07-01;Huelva;6600.0;Andalucia;0.21094349271286117
1707;2007-07-01;Huesca;2386.0;Aragon;0.14989320266365122
1709;2007-07-01;Islas Baleares;225601.0;Islas Baleares;0.6885489566515183
1711;2007-07-01;Jaen;3332.0;Andalucia;0.3182122051380002
1713;2007-07-01;La Rioja;679.0;La Rioja;0.044048005189750244
1715;2007-07-01;Las Palmas;270465.0;Canarias;0.8256431233801717
1717;2007-07-01;Lleida;3079.0;Cataluna;0.38832135199899104
1719;2007-07-01;Lugo;2106.0;Galicia;0.13197142499060033
1721;2007-07-01;Madrid;21965.0;Comunidad de Madrid;0.29190920447598545
1723;2007-07-01;Malaga;59436.0;Andalucia;0.3333389417010179
1725;2007-07-01;Murcia;11754.0;Region de Murcia;0.35835365853658535
1727;2007-07-01;Navarra;2804.0;Navarra;0.10500692806051755
1729;2007-07-01;Santa Cruz de Tenerife;124404.0;Canarias;0.8556218878098435
1731;2007-07-01;Sevilla;3060.0;Andalucia;0.050467567166394535
1733;2007-07-01;Tarragona;52380.0;Cataluna;0.6372185253220763
1735;2007-07-01;Valencia;26370.0;Valencia;0.3600196597766431
1737;2007-08-01;A Coruna;2158.0;Galicia;0.12295595692553131
1739;2007-08-01;Alicante;110473.0;Valencia;0.45705904742991427
1741;2007-08-01;Almeria;23303.0;Andalucia;0.43302857992344
1743;2007-08-01;Asturias;7986.0;Principado de Asturias;0.3047277444957454
1745;2007-08-01;Barcelona;13137.0;Cataluna;0.3218038850647919
1747;2007-08-01;Cadiz;7244.0;Andalucia;0.11964259170561713
1749;2007-08-01;Cantabria;13299.0;Cantabria;0.43824556778488105
1751;2007-08-01;Castellon;42808.0;Valencia;0.46408863737383593
1753;2007-08-01;Cordoba;928.0;Andalucia;0.08661564308381557
1755;2007-08-01;Girona;80714.0;Cataluna;0.556467903507139
1757;2007-08-01;Granada;8796.0;Andalucia;0.19808134035941088
1759;2007-08-01;Guipuzcoa;339.0;Pais Vasco;0.024379719525350594
1761;2007-08-01;Huelva;7594.0;Andalucia;0.24271286116082844
1763;2007-08-01;Huesca;4824.0;Aragon;0.3030531473803242
1765;2007-08-01;Islas Baleares;239803.0;Islas Baleares;0.7318943863365146
1767;2007-08-01;Jaen;5454.0;Andalucia;0.5208671569095598
1769;2007-08-01;La Rioja;755.0;La Rioja;0.04897826792085631
1771;2007-08-01;Las Palmas;294616.0;Canarias;0.8993684004872078
1773;2007-08-01;Lleida;3416.0;Cataluna;0.4308235590868962
1775;2007-08-01;Lugo;2056.0;Galicia;0.12883820027572376
1777;2007-08-01;Madrid;20159.0;Comunidad de Madrid;0.2679079286606597
1779;2007-08-01;Malaga;65187.0;Andalucia;0.3655926642550686
1781;2007-08-01;Murcia;13354.0;Region de Murcia;0.4071341463414634
1783;2007-08-01;Navarra;3022.0;Navarra;0.11317080477848931
1785;2007-08-01;Santa Cruz de Tenerife;142148.0;Canarias;0.9776610085559437
1787;2007-08-01;Sevilla;3688.0;Andalucia;0.06082496330381146
1789;2007-08-01;Tarragona;56338.0;Cataluna;0.6853687911339278
1791;2007-08-01;Valencia;27955.0;Valencia;0.38165906670671434
1793;2007-09-01;A Coruna;1002.0;Galicia;0.05709076405902797
1795;2007-09-01;Alicante;69443.0;Valencia;0.2873059610101612
1797;2007-09-01;Almeria;18275.0;Andalucia;0.3395956442561415
1799;2007-09-01;Asturias;2814.0;Principado de Asturias;0.10737589193726867
1801;2007-09-01;Barcelona;10460.0;Cataluna;0.2562281067045538
1803;2007-09-01;Cadiz;5504.0;Andalucia;0.09090458651956332
1805;2007-09-01;Cantabria;5535.0;Cantabria;0.1823963619587425
1807;2007-09-01;Castellon;20053.0;Valencia;0.21739790331848094
1809;2007-09-01;Cordoba;984.0;Andalucia;0.09184244913197685
1811;2007-09-01;Girona;36450.0;Cataluna;0.2512978551779768
1813;2007-09-01;Granada;5904.0;Andalucia;0.13295500608025942
1815;2007-09-01;Guipuzcoa;92.0;Pais Vasco;0.006616325062927005
1817;2007-09-01;Huelva;4894.0;Andalucia;0.15641779596011252
1819;2007-09-01;Huesca;2423.0;Aragon;0.1522176152783013
1821;2007-09-01;Islas Baleares;188937.0;Islas Baleares;0.5766480388955186
1823;2007-09-01;Jaen;3660.0;Andalucia;0.34953681596791136
1825;2007-09-01;La Rioja;772.0;La Rioja;0.05008108984755109
1827;2007-09-01;Las Palmas;233368.0;Canarias;0.7123978496921373
1829;2007-09-01;Lleida;1158.0;Cataluna;0.146046159667045
1831;2007-09-01;Lugo;1188.0;Galicia;0.07444541922546685
1833;2007-09-01;Madrid;26086.0;Comunidad de Madrid;0.3466762352816097
1835;2007-09-01;Malaga;52290.0;Andalucia;0.29326154622697065
1837;2007-09-01;Murcia;8042.0;Region de Murcia;0.2451829268292683
1839;2007-09-01;Navarra;2582.0;Navarra;0.09669325543946374
1841;2007-09-01;Santa Cruz de Tenerife;107451.0;Canarias;0.7390230817904206
1843;2007-09-01;Sevilla;4656.0;Andalucia;0.0767898669041611
1845;2007-09-01;Tarragona;41358.0;Cataluna;0.5031325652972591
1847;2007-09-01;Valencia;13108.0;Valencia;0.17895857794282283
1849;2007-10-01;A Coruna;751.0;Galicia;0.04278958463905191
1851;2007-10-01;Alicante;50096.0;Valencia;0.20726177473273094
1853;2007-10-01;Almeria;8441.0;Andalucia;0.1568550934701007
1855;2007-10-01;Asturias;2294.0;Principado de Asturias;0.08753386499790132
1857;2007-10-01;Barcelona;8522.0;Cataluna;0.20875486857898734
1859;2007-10-01;Cadiz;2606.0;Andalucia;0.04304094339934266
1861;2007-10-01;Cantabria;3642.0;Cantabria;0.12001581757068477
1863;2007-10-01;Castellon;7168.0;Valencia;0.0777094784315001
1865;2007-10-01;Cordoba;1082.0;Andalucia;0.1009893597162591
1867;2007-10-01;Girona;12369.0;Cataluna;0.08527580715216447
1869;2007-10-01;Granada;7343.0;Andalucia;0.1653605368643877
1871;2007-10-01;Guipuzcoa;104.0;Pais Vasco;0.007479323984178353
1873;2007-10-01;Huelva;3251.0;Andalucia;0.10390565072871388
1875;2007-10-01;Huesca;2179.0;Aragon;0.13688905641412238
1877;2007-10-01;Islas Baleares;104968.0;Islas Baleares;0.3203691778041612
1879;2007-10-01;Jaen;3994.0;Andalucia;0.3814344379715404
1881;2007-10-01;La Rioja;811.0;La Rioja;0.05261109309114499
1883;2007-10-01;Las Palmas;250901.0;Canarias;0.7659204898941026
1885;2007-10-01;Lleida;1123.0;Cataluna;0.14163198385672846
1887;2007-10-01;Lugo;1132.0;Galicia;0.07093620754480512
1889;2007-10-01;Madrid;25981.0;Comunidad de Madrid;0.34528081226909074
1891;2007-10-01;Malaga;41177.0;Andalucia;0.23093575614817308
1893;2007-10-01;Murcia;4394.0;Region de Murcia;0.13396341463414635
1895;2007-10-01;Navarra;2520.0;Navarra;0.09437141894169195
1897;2007-10-01;Santa Cruz de Tenerife;120246.0;Canarias;0.8270241272112026
1899;2007-10-01;Sevilla;5040.0;Andalucia;0.08312305180347336
1901;2007-10-01;Tarragona;14609.0;Cataluna;0.17772289874819042
1903;2007-10-01;Valencia;6096.0;Valencia;0.08322638778909429
1905;2007-11-01;A Coruna;492.0;Galicia;0.02803259073557062
1907;2007-11-01;Alicante;22397.0;Valencia;0.0926629265547943
1909;2007-11-01;Almeria;4580.0;Andalucia;0.08510796447021221
1911;2007-11-01;Asturias;1329.0;Principado de Asturias;0.050711641927729235
1913;2007-11-01;Barcelona;6604.0;Cataluna;0.16177155035151752
1915;2007-11-01;Cadiz;1672.0;Andalucia;0.02761491073050688
1917;2007-11-01;Cantabria;1945.0;Cantabria;0.06409411454557437
1919;2007-11-01;Castellon;2302.0;Valencia;0.024956364306544812
1921;2007-11-01;Cordoba;814.0;Andalucia;0.07597535934291581
1923;2007-11-01;Girona;4474.0;Cataluna;0.030845174322805712
1925;2007-11-01;Granada;5660.0;Andalucia;0.1274602531189479
1927;2007-11-01;Guipuzcoa;172.0;Pais Vasco;0.01236965120460266
1929;2007-11-01;Huelva;1958.0;Andalucia;0.06257990283814881
1931;2007-11-01;Huesca;978.0;Aragon;0.06143987938183189
1933;2007-11-01;Islas Baleares;5131.0;Islas Baleares;0.01566014643808733
1935;2007-11-01;Jaen;3110.0;Andalucia;0.29701079171043837
1937;2007-11-01;La Rioja;728.0;La Rioja;0.04722672721375284
1939;2007-11-01;Las Palmas;249494.0;Canarias;0.7616253689927072
1941;2007-11-01;Lleida;856.0;Cataluna;0.10795812838945643
1943;2007-11-01;Lugo;818.0;Galicia;0.051259556335380374
1945;2007-11-01;Madrid;22993.0;Comunidad de Madrid;0.30557106025569464
1947;2007-11-01;Malaga;23143.0;Andalucia;0.12979445332435993
1949;2007-11-01;Murcia;2574.0;Region de Murcia;0.07847560975609756
1951;2007-11-01;Navarra;2144.0;Navarra;0.08029060405197917
1953;2007-11-01;Santa Cruz de Tenerife;117018.0;Canarias;0.8048226911331811
1955;2007-11-01;Sevilla;3897.0;Andalucia;0.06427193112661422
1957;2007-11-01;Tarragona;1451.0;Cataluna;0.017651853383778785
1959;2007-11-01;Valencia;4300.0;Valencia;0.058706277475903124
1961;2007-12-01;A Coruna;595.0;Galicia;0.03390120221070025
1963;2007-12-01;Alicante;27522.0;Valencia;0.11386654751266011
1965;2007-12-01;Almeria;5555.0;Andalucia;0.10322592633887093
1967;2007-12-01;Asturias;2150.0;Principado de Asturias;0.08203914984546114
1969;2007-12-01;Barcelona;6780.0;Cataluna;0.16608284545476815
1971;2007-12-01;Cadiz;1853.0;Andalucia;0.030604323913653857
1973;2007-12-01;Cantabria;2715.0;Cantabria;0.08946813418572465
1975;2007-12-01;Castellon;5244.0;Valencia;0.056851074901616415
1977;2007-12-01;Cordoba;887.0;Andalucia;0.0827888743699832
1979;2007-12-01;Girona;5972.0;Cataluna;0.04117286121050418
1981;2007-12-01;Granada;10660.0;Andalucia;0.24005764986713507
1983;2007-12-01;Guipuzcoa;85.0;Pais Vasco;0.006112909025530385
1985;2007-12-01;Huelva;1172.0;Andalucia;0.03745845052416262
1987;2007-12-01;Huesca;3918.0;Aragon;0.24613644930267622
1989;2007-12-01;Islas Baleares;4030.0;Islas Baleares;0.012299822675013047
1991;2007-12-01;Jaen;3674.0;Andalucia;0.3508738420399198
1993;2007-12-01;La Rioja;656.0;La Rioja;0.04255595199481025
1995;2007-12-01;Las Palmas;243376.0;Canarias;0.7429490721378834
1997;2007-12-01;Lleida;3133.0;Cataluna;0.39513179467776516
1999;2007-12-01;Lugo;888.0;Galicia;0.05564607093620755
2001;2007-12-01;Madrid;21974.0;Comunidad de Madrid;0.29202881216277277
2003;2007-12-01;Malaga;25169.0;Andalucia;0.14115700625332997
2005;2007-12-01;Murcia;2367.0;Region de Murcia;0.07216463414634146
2007;2007-12-01;Navarra;2108.0;Navarra;0.07894244092424073
2009;2007-12-01;Santa Cruz de Tenerife;117072.0;Canarias;0.8051940906214752
2011;2007-12-01;Sevilla;3961.0;Andalucia;0.06532746194316626
2013;2007-12-01;Tarragona;1460.0;Cataluna;0.01776134110290629
2015;2007-12-01;Valencia;6717.0;Valencia;0.0917046664664282
2017;2008-01-01;A Coruna;421.0;Galicia;0.023987237194461854
2019;2008-01-01;Alicante;19084.0;Valencia;0.07895607850925099
2021;2008-01-01;Almeria;1974.0;Andalucia;0.036681904337161335
2023;2008-01-01;Asturias;433.0;Principado de Asturias;0.016522303201434732
2025;2008-01-01;Barcelona;5878.0;Cataluna;0.14398745805060872
2027;2008-01-01;Cadiz;1985.0;Andalucia;0.03278444844500966
2029;2008-01-01;Cantabria;1301.0;Cantabria;0.04287220721017597
2031;2008-01-01;Castellon;1657.0;Valencia;0.017963812187638904
2033;2008-01-01;Cordoba;501.0;Andalucia;0.046761246966585776
2035;2008-01-01;Girona;3419.0;Cataluna;0.023571669872524077
2037;2008-01-01;Granada;7183.0;Andalucia;0.16175742016844571
2039;2008-01-01;Guipuzcoa;63.0;Pais Vasco;0.004530744336569579
2041;2008-01-01;Huelva;599.0;Andalucia;0.019144720020455128
2043;2008-01-01;Huesca;5020.0;Aragon;0.31536625204171376
2045;2008-01-01;Islas Baleares;4378.0;Islas Baleares;0.013361941357619634
2047;2008-01-01;Jaen;1226.0;Andalucia;0.11708528316302168
2049;2008-01-01;La Rioja;463.0;La Rioja;0.03003567953292248
2051;2008-01-01;Las Palmas;239355.0;Canarias;0.7306742454537961
2053;2008-01-01;Lleida;4665.0;Cataluna;0.5883465758607643
2055;2008-01-01;Lugo;915.0;Galicia;0.057338012282240884
2057;2008-01-01;Madrid;18006.0;Comunidad de Madrid;0.23929511203253329
2059;2008-01-01;Malaga;19606.0;Andalucia;0.10995765682398138
2061;2008-01-01;Murcia;2302.0;Region de Murcia;0.0701829268292683
2063;2008-01-01;Navarra;1479.0;Navarra;0.05538703516458825
2065;2008-01-01;Santa Cruz de Tenerife;111628.0;Canarias;0.7677515199867947
2067;2008-01-01;Sevilla;2722.0;Andalucia;0.04489304504147906
2069;2008-01-01;Tarragona;734.0;Cataluna;0.008929331759954258
2071;2008-01-01;Valencia;2670.0;Valencia;0.036452502525735196
2073;2008-02-01;A Coruna;586.0;Galicia;0.03338841091675688
2075;2008-02-01;Alicante;25012.0;Valencia;0.10348194485817364
2077;2008-02-01;Almeria;4606.0;Andalucia;0.08559111012004311
2079;2008-02-01;Asturias;884.0;Principado de Asturias;0.033731445796924484
2081;2008-02-01;Barcelona;7185.0;Cataluna;0.17600372339122553
2083;2008-02-01;Cadiz;2847.0;Andalucia;0.04702132227856046
2085;2008-02-01;Cantabria;1712.0;Cantabria;0.056416002109009426
2087;2008-02-01;Castellon;3001.0;Valencia;0.03253433939354517
2089;2008-02-01;Cordoba;613.0;Andalucia;0.057214859062908345
2091;2008-02-01;Girona;6145.0;Cataluna;0.04236557805401008
2093;2008-02-01;Granada;10694.0;Andalucia;0.24082331216502276
2095;2008-02-01;Guipuzcoa;98.0;Pais Vasco;0.007047824523552679
2097;2008-02-01;Huelva;1043.0;Andalucia;0.03333546407568397
2099;2008-02-01;Huesca;6157.0;Aragon;0.3867948234702852
2101;2008-02-01;Islas Baleares;6375.0;Islas Baleares;0.019456915521887885
2103;2008-02-01;Jaen;2795.0;Andalucia;0.26692770509024927
2105;2008-02-01;La Rioja;873.0;La Rioja;0.056633149529678885
2107;2008-02-01;Las Palmas;247087.0;Canarias;0.7542775679908176
2109;2008-02-01;Lleida;4763.0;Cataluna;0.6007062681296507
2111;2008-02-01;Lugo;897.0;Galicia;0.05621005138488532
2113;2008-02-01;Madrid;21629.0;Comunidad de Madrid;0.28744385083592483
2115;2008-02-01;Malaga;26769.0;Andalucia;0.1501303945486666
2117;2008-02-01;Murcia;2544.0;Region de Murcia;0.0775609756097561
2119;2008-02-01;Navarra;1733.0;Navarra;0.06489907501029847
2121;2008-02-01;Santa Cruz de Tenerife;118627.0;Canarias;0.8158890203306831
2123;2008-02-01;Sevilla;2928.0;Andalucia;0.04829053485725595
2125;2008-02-01;Tarragona;915.0;Cataluna;0.011131251444629627
2127;2008-02-01;Valencia;3957.0;Valencia;0.05402342790049969
2129;2008-03-01;A Coruna;941.0;Galicia;0.053615178622300724
2131;2008-03-01;Alicante;37551.0;Valencia;0.15535944791976963
2133;2008-03-01;Almeria;5161.0;Andalucia;0.09590441149143346
2135;2008-03-01;Asturias;3175.0;Principado de Asturias;0.12115083756248331
2137;2008-03-01;Barcelona;9428.0;Cataluna;0.2309482399627661
2139;2008-03-01;Cadiz;4520.0;Andalucia;0.07465274910400185
2141;2008-03-01;Cantabria;4671.0;Cantabria;0.1539247347261583
2143;2008-03-01;Castellon;10086.0;Valencia;0.10934400104075194
2145;2008-03-01;Cordoba;1196.0;Andalucia;0.11162964345715885
2147;2008-03-01;Girona;10047.0;Cataluna;0.06926720304453039
2149;2008-03-01;Granada;11033.0;Andalucia;0.24845741566454985
2151;2008-03-01;Guipuzcoa;146.0;Pais Vasco;0.010499820208558072
2153;2008-03-01;Huelva;287.0;Andalucia;0.009172845819483508
2155;2008-03-01;Huesca;4804.0;Aragon;0.30179670812916193
2157;2008-03-01;Islas Baleares;10401.0;Islas Baleares;0.03174452993618132
2159;2008-03-01;Jaen;3590.0;Andalucia;0.3428516856078693
2161;2008-03-01;La Rioja;809.0;La Rioja;0.05248134933506325
2163;2008-03-01;Las Palmas;272835.0;Canarias;0.832877975218343
2165;2008-03-01;Lleida;4046.0;Cataluna;0.5102787236725943
2167;2008-03-01;Lugo;1396.0;Galicia;0.0874796340393533
2169;2008-03-01;Madrid;22433.0;Comunidad de Madrid;0.298128804188927
2171;2008-03-01;Malaga;38784.0;Andalucia;0.2175149322789602
2173;2008-03-01;Murcia;4264.0;Region de Murcia;0.13
2175;2008-03-01;Navarra;2523.0;Navarra;0.09448376586900348
2177;2008-03-01;Santa Cruz de Tenerife;130691.0;Canarias;0.8988624171228919
2179;2008-03-01;Sevilla;4647.0;Andalucia;0.07664143288308346
2181;2008-03-01;Tarragona;2466.0;Cataluna;0.02999963504093624
2183;2008-03-01;Valencia;6682.0;Valencia;0.0912268246730197
2185;2008-04-01;A Coruna;660.0;Galicia;0.037604694889180106
2187;2008-04-01;Alicante;39130.0;Valencia;0.16189223182073942
2189;2008-04-01;Almeria;12196.0;Andalucia;0.22663247482067864
2191;2008-04-01;Asturias;1662.0;Principado de Asturias;0.06341817071774716
2193;2008-04-01;Barcelona;10101.0;Cataluna;0.24743404453371873
2195;2008-04-01;Cadiz;2955.0;Andalucia;0.048805060531487934
2197;2008-04-01;Cantabria;2692.0;Cantabria;0.08871020892374613
2199;2008-04-01;Castellon;4960.0;Valencia;0.053772183736082654
2201;2008-04-01;Cordoba;1188.0;Andalucia;0.11088295687885011
2203;2008-04-01;Girona;12584.0;Cataluna;0.08675808531027873
2205;2008-04-01;Granada;5855.0;Andalucia;0.1318515515921272
2207;2008-04-01;Guipuzcoa;246.0;Pais Vasco;0.017691477885652642
2209;2008-04-01;Huelva;2323.0;Andalucia;0.07424571720787522
2211;2008-04-01;Huesca;1527.0;Aragon;0.09592913682623445
2213;2008-04-01;Islas Baleares;29930.0;Islas Baleares;0.09134831083452619
2215;2008-04-01;Jaen;2589.0;Andalucia;0.24725432145926846
2217;2008-04-01;La Rioja;632.0;La Rioja;0.040999026921829385
2219;2008-04-01;Las Palmas;192744.0;Canarias;0.5883857732896597
2221;2008-04-01;Lleida;749.0;Cataluna;0.09446336234077438
2223;2008-04-01;Lugo;976.0;Galicia;0.06116054643439028
2225;2008-04-01;Madrid;22077.0;Comunidad de Madrid;0.29339765568933895
2227;2008-04-01;Malaga;39101.0;Andalucia;0.21929278483497378
2229;2008-04-01;Murcia;2769.0;Region de Murcia;0.08442073170731708
2231;2008-04-01;Navarra;2634.0;Navarra;0.09864060217953038
2233;2008-04-01;Santa Cruz de Tenerife;105734.0;Canarias;0.7272139536163306
2235;2008-04-01;Sevilla;5376.0;Andalucia;0.08866458859037157
2237;2008-04-01;Tarragona;6865.0;Cataluna;0.0835147990900354
2239;2008-04-01;Valencia;5102.0;Valencia;0.06965568085629249
2241;2008-05-01;A Coruna;1091.0;Galicia;0.06216170018802347
2243;2008-05-01;Alicante;49526.0;Valencia;0.20490351835302684
2245;2008-05-01;Almeria;11303.0;Andalucia;0.2100382800014866
2247;2008-05-01;Asturias;3322.0;Principado de Asturias;0.126760025947266
2249;2008-05-01;Barcelona;11176.0;Cataluna;0.27376723905641426
2251;2008-05-01;Cadiz;4832.0;Andalucia;0.07980577072357012
2253;2008-05-01;Cantabria;4899.0;Cantabria;0.16143808080142358
2255;2008-05-01;Castellon;7964.0;Valencia;0.0863390466278553
2257;2008-05-01;Cordoba;1064.0;Andalucia;0.0993093149150644
2259;2008-05-01;Girona;22228.0;Cataluna;0.1532468785979717
2261;2008-05-01;Granada;5348.0;Andalucia;0.120434175561861
2263;2008-05-01;Guipuzcoa;231.0;Pais Vasco;0.016612729234088457
2265;2008-05-01;Huelva;2925.0;Andalucia;0.09348632063410893
2267;2008-05-01;Huesca;1998.0;Aragon;0.12551828119110442
2269;2008-05-01;Islas Baleares;145865.0;Islas Baleares;0.44518948746669434
2271;2008-05-01;Jaen;3032.0;Andalucia;0.2895616464521058
