;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
159;2005-03-01;Navarra;2238.0;Navarra;0.08381080777440737
161;2005-03-01;Santa Cruz de Tenerife;123421.0;Canarias;0.8488610415692316
163;2005-03-01;Sevilla;3361.0;Andalucia;0.05543186053799086
165;2005-03-01;Tarragona;14624.0;Cataluna;0.17790537828006958
167;2005-03-01;Valencia;4266.0;Valencia;0.05824208830516342
169;2005-04-01;A Coruna;650.0;Galicia;0.03703492678479859
171;2005-04-01;Alicante;34201.0;Valencia;0.14149952007414027
173;2005-04-01;Almeria;9505.0;Andalucia;0.17662690006318058
175;2005-04-01;Asturias;2051.0;Principado de Asturias;0.07826153317815851
177;2005-04-01;Barcelona;7198.0;Cataluna;0.17632217132498837
179;2005-04-01;Cadiz;3270.0;Andalucia;0.054007630435859745
181;2005-04-01;Cantabria;3118.0;Cantabria;0.10274830290647861
183;2005-04-01;Castellon;10433.0;Valencia;0.11310588566906256
185;2005-04-01;Cordoba;810.0;Andalucia;0.07560201605376143
187;2005-04-01;Girona;8307.0;Cataluna;0.057271091439326564
189;2005-04-01;Granada;9141.0;Andalucia;0.2058505607350358
191;2005-04-01;Guipuzcoa;128.0;Pais Vasco;0.00920532182668105
193;2005-04-01;Huelva;3240.0;Andalucia;0.10355407824085912
195;2005-04-01;Huesca;1536.0;Aragon;0.09649453448925745
197;2005-04-01;Islas Baleares;24852.0;Islas Baleares;0.07584992385097376
199;2005-04-01;Jaen;3390.0;Andalucia;0.32375131315060646
201;2005-04-01;La Rioja;330.0;La Rioja;0.021407719753486862
203;2005-04-01;Las Palmas;202708.0;Canarias;0.6188026778109842
205;2005-04-01;Lleida;236.0;Cataluna;0.029764156892420228
207;2005-04-01;Lugo;336.0;Galicia;0.021055270083970422
209;2005-04-01;Madrid;24678.0;Comunidad de Madrid;0.3279642771708795
211;2005-04-01;Malaga;31279.0;Andalucia;0.17542413280614677
213;2005-04-01;Murcia;4268.0;Region de Murcia;0.1301219512195122
215;2005-04-01;Navarra;2194.0;Navarra;0.08216305284050482
217;2005-04-01;Santa Cruz de Tenerife;107432.0;Canarias;0.7388924041926875
219;2005-04-01;Sevilla;4980.0;Andalucia;0.08213349166295582
221;2005-04-01;Tarragona;7130.0;Cataluna;0.08673860415323414
223;2005-04-01;Valencia;3682.0;Valencia;0.05026895666657565
225;2005-05-01;A Coruna;691.0;Galicia;0.03937097601276281
227;2005-05-01;Alicante;41825.0;Valencia;0.17304223347565617
229;2005-05-01;Almeria;9178.0;Andalucia;0.17055041439030735
231;2005-05-01;Asturias;2300.0;Principado de Asturias;0.08776281146258633
233;2005-05-01;Barcelona;8635.0;Cataluna;0.21152291600323347
235;2005-05-01;Cadiz;2864.0;Andalucia;0.04730209589244719
